# lambda(nm)  coeff spline
 1343.000 0.00016035    -6.8338e-05
 1344.000 0.00015044     1.0974e-04
 1345.000 0.00018675    -9.3290e-05
 1346.000 0.00016556    -8.1576e-05
 1347.000 0.00010986     2.1253e-04
 1348.000 0.00016328    -1.1383e-04
 1349.000 0.00017406    -1.3036e-05
 1350.000 0.00016051     2.0000e-05
 1351.000 0.00015814     1.1681e-07
 1352.000 0.00017171     7.5173e-05
 1353.000 0.00020470    -1.8429e-04
 1354.000 0.00014628     1.1352e-04
 1355.000 0.00013434     9.1016e-06
 1356.000 0.00014140    -3.5923e-05
 1357.000 0.00013246     3.8591e-05
 1358.000 0.00015654     7.9680e-05
 1359.000 0.00018557    -3.2761e-04
 1360.000 0.00007946     4.1992e-04
 1361.000 0.00015297    -2.7435e-04
 1362.000 0.00014694     2.0024e-04
 1363.000 0.00019656    -1.9271e-04
 1364.000 0.00015319     1.2662e-05
 1365.000 0.00011395     1.6684e-04
 1366.000 0.00016576    -1.3373e-04
 1367.000 0.00015744     7.3029e-06
 1368.000 0.00013937     4.6020e-05
 1369.000 0.00015676     2.1379e-05
 1370.000 0.00017880    -1.0363e-04
 1371.000 0.00015172     9.8438e-05
 1372.000 0.00016314    -5.9117e-05
 1373.000 0.00019084     2.3571e-04
 1374.000 0.00027022    -5.7364e-04
 1375.000 0.00011509     6.5178e-04
 1376.000 0.00021325    -5.1375e-04
 1377.000 0.00012916     3.0971e-04
 1378.000 0.00015057    -9.2111e-05
 1379.000 0.00016199    -1.2124e-06
 1380.000 0.00016847     6.7320e-05
 1381.000 0.00021082    -5.2849e-05
 1382.000 0.00019958    -1.7747e-04
 1383.000 0.00011983     3.5165e-04
 1384.000 0.00018233    -3.7565e-04
 1385.000 0.00011619     3.7910e-04
 1386.000 0.00018070    -3.5684e-04
 1387.000 0.00012883     3.4997e-04
 1388.000 0.00019779    -3.1806e-04
 1389.000 0.00015033     2.2376e-04
 1390.000 0.00017520    -1.4300e-04
 1391.000 0.00015642     8.6330e-05
 1392.000 0.00016294    -5.0523e-05
 1393.000 0.00014542    -2.8479e-05
 1394.000 0.00012936     1.7320e-04
 1395.000 0.00019486    -1.7495e-04
 1396.000 0.00016812    -2.6835e-05
 1397.000 0.00012103     1.6019e-04
 1398.000 0.00015851    -1.0651e-04
 1399.000 0.00016439     7.6264e-05
 1400.000 0.00020357     1.2581e-06
 1401.000 0.00022721    -1.7454e-04
 1402.000 0.00018492     3.0131e-04
 1403.000 0.00024767    -4.0045e-04
 1404.000 0.00015815     3.8688e-04
 1405.000 0.00021476    -2.7031e-04
 1406.000 0.00018439     1.7246e-04
 1407.000 0.00019875    -1.5115e-04
 1408.000 0.00017585     2.0859e-04
 1409.000 0.00022558    -2.4744e-04
 1410.000 0.00018663     2.4908e-04
 1411.000 0.00023597    -2.1915e-04
 1412.000 0.00019778     1.0233e-04
 1413.000 0.00018934    -1.1655e-05
 1414.000 0.00018936    -4.9435e-06
 1415.000 0.00020697     1.3697e-04
 1416.000 0.00026401    -3.0635e-04
 1417.000 0.00018704     2.8439e-04
 1418.000 0.00022248    -1.5674e-04
 1419.000 0.00020704     3.7299e-05
 1420.000 0.00020970     1.1615e-04
 1421.000 0.00026101    -2.0998e-04
 1422.000 0.00022443     1.9643e-04
 1423.000 0.00026682    -1.0193e-04
 1424.000 0.00029604     1.3227e-04
 1425.000 0.00036485    -1.8962e-04
 1426.000 0.00035451     1.5132e-04
 1427.000 0.00038964    -1.4285e-04
 1428.000 0.00037503     1.2163e-04
 1429.000 0.00040573    -7.1816e-05
 1430.000 0.00041948     6.3934e-05
 1431.000 0.00045963    -2.5520e-05
 1432.000 0.00050531     7.1327e-05
 1433.000 0.00057046    -1.4297e-04
 1434.000 0.00056351     6.7938e-05
 1435.000 0.00057487    -1.8926e-05
 1436.000 0.00059729     7.4125e-05
 1437.000 0.00065955    -3.8533e-05
 1438.000 0.00071257     2.4568e-05
 1439.000 0.00076782    -4.6359e-05
 1440.000 0.00080904     7.6687e-05
 1441.000 0.00086344    -1.8131e-04
 1442.000 0.00084225     1.9500e-04
 1443.000 0.00091494    -3.5422e-05
 1444.000 0.00096561    -1.8544e-04
 1445.000 0.00095268     3.9556e-04
 1446.000 0.00112110    -3.0872e-04
 1447.000 0.00116310     8.0779e-05
 1448.000 0.00120410    -2.0402e-05
 1449.000 0.00126820     1.3943e-04
 1450.000 0.00140010    -1.3051e-04
 1451.000 0.00147910     6.5219e-05
 1452.000 0.00158480     2.9837e-05
 1453.000 0.00170830    -7.7767e-05
 1454.000 0.00180510     1.2103e-04
 1455.000 0.00196920    -2.5645e-06
 1456.000 0.00214090    -6.5174e-05
 1457.000 0.00227210     2.0259e-05
 1458.000 0.00242570     1.1854e-04
 1459.000 0.00265970    -1.2017e-05
 1460.000 0.00292310     1.0593e-04
 1461.000 0.00323540    -1.1830e-04
 1462.000 0.00352630     2.3888e-04
 1463.000 0.00391650    -2.4142e-04
 1464.000 0.00423560     3.0022e-04
 1465.000 0.00471150    -1.8636e-05
 1466.000 0.00524640     1.2833e-04
 1467.000 0.00584450    -1.1548e-04
 1468.000 0.00646350     4.5900e-04
 1469.000 0.00732640    -2.5713e-04
 1470.000 0.00816100     3.9971e-04
 1471.000 0.00923780     1.1148e-04
 1472.000 0.01045800     1.4781e-05
 1473.000 0.01177600     4.1621e-04
 1474.000 0.01339800     1.4438e-04
 1475.000 0.01522600     2.4228e-04
 1476.000 0.01730300     3.8050e-04
 1477.000 0.01972900     3.2972e-04
 1478.000 0.02253000     5.5059e-04
 1479.000 0.02581000     3.4191e-04
 1480.000 0.02952700     7.0377e-04
 1481.000 0.03389600     7.5504e-04
 1482.000 0.03891900     2.0007e-04
 1483.000 0.04445800     1.5407e-03
 1484.000 0.05108100     1.4132e-04
 1485.000 0.05834100     1.7160e-03
 1486.000 0.06690000     7.8852e-04
 1487.000 0.07648200     1.2678e-03
