#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

     998.4401       2.876017
     998.5399       2.875648
     998.6400       2.872833
     998.7401       2.872447
     998.8400       2.874541
     998.9401       2.873666
     999.0399       2.873807
     999.1400       2.871810
     999.2401       2.872873
     999.3400       2.872704
     999.4399       2.872335
     999.5400       2.862225
     999.6400       2.869695
     999.7401       2.871171
     999.8400       2.870863
     999.9401       2.870496
    1000.0400       2.868587
    1000.1400       2.865898
    1000.2401      14.729726
    1000.3400       5.984185
    1000.4401       2.885702
    1000.5400       2.948329
    1000.6400       2.868051
    1000.7401       2.867553
    1000.8400       2.867185
    1000.9401       2.866817
    1001.0400       2.866450
    1001.1400       2.866082
    1001.2401       2.865251
    1001.3400       4.366639
    1001.4401      12.645534
    1001.5400     107.151611
    1001.6400      24.701847
    1001.7401      15.303507
    1001.8400       2.862299
    1001.9401       2.827241
    1002.0400       2.860559
    1002.1400       2.851155
    1002.2401       2.862011
    1002.3400       3.362552
    1002.4401       5.970372
    1002.5400       2.856966
    1002.6400       2.854063
    1002.7401       4.629835
    1002.8400      44.330963
    1002.9401       2.860365
    1003.0400       2.859102
    1003.1400       2.858735
    1003.2401       2.858367
    1003.3400       2.865873
    1003.4401       2.860091
    1003.5400       2.867093
    1003.6400       2.863627
    1003.7401       2.856531
    1003.8400       2.856165
    1003.9401       2.847556
    1004.0400       4.355899
    1004.1400       2.931350
    1004.2401       2.854698
    1004.3400       2.854172
    1004.4401       2.844795
    1004.5400       3.188127
    1004.6400      19.425232
    1004.7401       2.856392
    1004.8400       2.852480
    1004.9401       2.852089
    1005.0400       2.850530
    1005.1400       2.849740
    1005.2401       2.851030
    1005.3400       2.850664
    1005.4401       2.850242
    1005.5400       2.847753
    1005.6400       2.837583
    1005.7401       2.849197
    1005.8400       2.848831
    1005.9401       2.848464
    1006.0400       2.848139
    1006.1400       6.627311
    1006.2401       4.725810
    1006.3400      26.030996
    1006.4401       3.050250
    1006.5400       2.846746
    1006.6400       2.843360
    1006.7401       2.844314
    1006.8400       2.845167
    1006.9401       4.802648
    1007.0400       6.865283
    1007.1400       2.844025
    1007.2401       2.921224
    1007.3400       9.680905
    1007.4401       6.919852
